	LF	HF	LF	HF	LF	HF	LF	HF	LF	HF	LF	HF	LF	HF	LF	HF	LF	HF	LF	HF	LF	HF	LF	HF	HF	HF
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Coriobacteriaceae|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Enterorhabdus|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Bacteria|Actinobacteria|Thermoleophilia|Gaiellales|Gaiellaceae|Gaiella|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|480-2|480-2|unclassified|unclassified	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Patulibacteraceae|Patulibacter|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Solirubrobacterales|unclassified|Solirubrobacterales|unclassified|unclassified	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Thermoleophilia|unclassified|Thermoleophilia|unclassified|Thermoleophilia|unclassified|unclassified	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Bacteria|Alphaproteobacteraeota|Alphabacteria|Rhodobacterales|Rhodobacter clade|Paracoccus|solventivorans	0	0	0	0	0	0	0	0	0	1	444	257	697	0	0	0	248	0	0	0	0	235	33	1595	0	0
Bacteria|Alphaproteobacteraeota|Alphabacteria|Rhodobacterales|Rhodobacter clade|Paracoccus|sp.	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	123	6	0	0
Bacteria|Alphaproteobacteraeota|Alphabacteria|Rhodobacterales|Rhodobacter clade|Paracoccus|sphaerophysae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Alphaproteobacteraeota|Gammaproteobacteria|Enterobacteriaceae and related endosymbionts|Enterobacteraceae|Escherichia|coli	6	3	11	2148	224	114	1	6	3993	3971	812	422	1535	3207	1533	612	1229	809	4165	2165	487	167	171	242	846	952
Bacteria|Alphaproteobacteraeota|Gammaproteobacteria|Enterobacteriaceae and related endosymbionts|Enterobacteraceae|Shigella|boydii	0	0	0	0	0	0	0	0	4	7	4	0	5	2	2	0	2	1	9	0	0	0	0	1	0	0
Bacteria|Alphaproteobacteraeota|Gammaproteobacteria|Enterobacteriaceae and related endosymbionts|Enterobacteraceae|Shigella|flexneri	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
Bacteria|Alphaproteobacteraeota|Gammaproteobacteria|Enterobacteriaceae and related endosymbionts|Enterobacteraceae|Shigella|sonnei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
