	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF PS	LF	LF PS	LF
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas|mossii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|goldsteinii	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella|unclassified	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|1|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|amnii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|buccalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|unclassified	3	2	4	95	98	4	1	3	0	73	1	0	407	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Rikenellaceae|RC9|gut|group|unclassified	0	0	6	46	71	0	0	1	0	0	0	0	542	0	0	0	0	0	1	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Rikenellaceae|unclassified|unclassified	0	0	0	10	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidia|unclassified|Bacteroidia|unclassified|Bacteroidia|unclassified|unclassified	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Algoriphagus|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Adhaeribacter|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1676	0	0	0	0	0	0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Hymenobacter|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Hymenobacter|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagales|unclassified|Cytophagales|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
Bacteria|Bacteroidetes|Cytophagia|Cytophagia|unclassified|Cytophagia|unclassified|Cytophagia|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|haifense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|sp.	0	0	0	0	17	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Cloacibacterium|normanense	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	3	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Cloacibacterium|unclassified	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Epilithonimonas|unclassified	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacteriaceae|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Moheibacter|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Chitinophagaceae|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Flavisolibacter|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Parafilimonas|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Mucilaginibacter|sp.	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Pedobacter|koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Pedobacter|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Sphingobacteriaceae|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriales|unclassified|Sphingobacteriales|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi|KD4-96|KD4-96|unclassified|KD4-96|unclassified|KD4-96|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi|Thermomicrobia|JG30-KF-CM45|JG30-KF-CM45|unclassified|JG30-KF-CM45|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Bacteria|Fibrobacteres|Fibrobacteria|Fibrobacterales|Fibrobacteraceae|Fibrobacter|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillaceae|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales|unclassified|Bacillales|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillaceae|unclassified|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Sporolactobacillaceae|Tuberibacillus|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Jeotgalicoccus|sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|epidermidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|pasteuri	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|sp.	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
